week,date,team1,team2,location
8,7:30 PM,32,31,(2)Ohio State
8,3:30 PM,33,30,Southern California
8,3:30 PM,17,15,California
8,7:00 PM,29,27,Texas-San Antonio
8,3:30 PM,27,24,Wyoming
8,8:00 PM,24,17,North Carolina State
8,7:00 PM,23,17,Florida
8,3:30 PM,34,3,(18)Oklahoma
8,7:00 PM,41,9,Arkansas State
8,7:45 PM,20,13,Kentucky
8,7:00 PM,25,17,Fresno State
8,3:30 PM,34,24,Akron
8,12:00 PM,42,7,Rutgers
9,8:00 PM,14,5,Kennesaw State
9,9:00 PM,33,30,Louisiana Tech
9,7:30 PM,25,9,Troy
9,9:00 PM,30,21,Florida International
9,7:00 PM,31,14,Sam Houston
9,7:00 PM,35,20,Georgia State
9,7:30 PM,42,21,Boston College
9,10:15 PM,38,35,Oklahoma State
9,7:00 PM,23,16,Florida State
9,10:30 PM,24,21,Nevada
9,8:00 PM,35,0,Purdue
9,7:00 PM,44,28,Southern Mississippi
9,12:00 PM,45,28,East Carolina
9,4:00 PM,59,35,Texas Tech
9,3:30 PM,27,6,Kent State
9,12:00 PM,24,14,Arizona State
9,12:00 PM,48,31,Virginia
9,4:00 PM,34,7,Arizona
9,8:00 PM,21,13,Air Force
9,2:00 PM,38,34,Central Michigan
9,7:45 PM,48,20,Kentucky
9,7:30 PM,30,15,(1)Texas
9,4:00 PM,28,14,James Madison
9,3:30 PM,21,7,(24)Michigan
9,12:00 PM,56,7,Nebraska
9,7:30 PM,38,35,Central Florida
9,3:30 PM,42,14,Houston
9,7:30 PM,45,18,West Virginia
9,12:00 PM,34,24,Coastal Carolina
9,7:00 PM,34,10,Arkansas
9,4:00 PM,29,28,Southern California
9,7:30 PM,52,44,North Texas
9,12:00 PM,52,45,Louisville
9,3:30 PM,30,20,Ohio
9,7:30 PM,32,20,Iowa
9,12:00 PM,21,17,Auburn
9,3:30 PM,51,17,Charlotte
9,10:00 PM,33,25,Oregon State
9,4:00 PM,50,45,Utah State
9,3:30 PM,24,23,California
9,3:30 PM,31,13,Georgia Tech
9,3:30 PM,24,14,Texas State
9,4:00 PM,24,14,Wyoming
9,12:45 PM,35,9,Oklahoma
9,3:30 PM,35,25,Alabama-Birmingham
9,8:00 PM,40,10,Stanford
9,2:00 PM,20,10,Tulsa
9,3:30 PM,24,17,(7)Alabama
9,4:15 PM,34,24,Mississippi State
9,10:30 PM,13,7,Utah
9,3:30 PM,38,24,Florida Atlantic
9,3:30 PM,13,6,Northern Illinois
9,3:30 PM,24,10,Rice
9,12:00 PM,35,32,Rutgers
9,7:00 PM,24,14,Ball State
9,12:00 PM,23,20,Connecticut
9,3:30 PM,42,10,Hawaii
9,3:30 PM,48,41,Buffalo
9,12:00 PM,23,3,Northwestern
10,7:30 PM,,,Florida International
10,8:00 PM,,,Louisiana Tech
10,7:00 PM,,,Kennesaw State
10,7:30 PM,,,Jacksonville State
10,7:00 PM,,,Old Dominion
10,7:30 PM,,,(19)Pittsburgh
10,10:30 PM,,,Nevada-Las Vegas
10,7:30 PM,,,Boston College
10,11:00 PM,,,Southern California
10,12:45 PM,,,Mississippi State
10,7:45 PM,,,Kentucky
10,3:30 PM,,,Toledo
10,TBD,,,Central Florida
10,12:00 PM,,,Ohio
10,2:00 PM,,,Miami (OH)
10,12:00 PM,,,Memphis
10,10:15 PM,,,Colorado
10,3:30 PM,,,Akron
10,7:00 PM,,,(6)Miami (FL)
10,TBD,,,Appalachian State
10,12:00 PM,,,Virginia Tech
10,3:30 PM,,,(1)Oregon
10,TBD,,,(16)Kansas State
10,3:30 PM,,,Western Michigan
10,TBD,,,(14)Texas A&M
10,5:00 PM,,,South Alabama
10,3:30 PM,,,Minnesota
10,7:30 PM,,,Michigan
10,TBD,,,(15)Alabama
10,12:00 PM,,,(4)Ohio State
10,5:00 PM,,,Colorado State
10,12:00 PM,,,Virginia
10,3:30 PM,,,Ball State
10,3:30 PM,,,Iowa
10,12:00 PM,,,(24)Navy
10,12:00 PM,,,(18)Mississippi
10,3:30 PM,,,Baylor
10,4:00 PM,,,California
10,7:30 PM,,,Wisconsin
10,3:30 PM,,,Connecticut
10,8:00 PM,,,Fresno State
10,8:00 PM,,,Duke
10,3:30 PM,,,James Madison
10,2:00 PM,,,East Carolina
10,TBD,,,(25)Vanderbilt
10,TBD,,,Texas Christian
10,3:30 PM,,,Tulsa
10,7:00 PM,,,Arkansas State
10,12:00 PM,,,North Texas
10,TBD,,,Houston
10,7:00 PM,,,Wyoming
10,3:30 PM,,,Massachusetts
10,3:30 PM,,,Stanford
10,12:00 PM,,,(13)Indiana
10,10:30 PM,,,San Diego State
10,TBD,,,Arizona
10,12:00 AM,,,Hawaii
11,7:30 PM,,,Texas State
11,8:00 PM,,,Sam Houston
11,7:00 PM,,,Florida International
11,7:00 PM,,,Liberty
11,7:30 PM,,,Western Kentucky
11,7:30 PM,,,Charlotte
11,7:00 PM,,,Connecticut
11,8:00 PM,,,(17)Boise State
11,7:30 PM,,,Florida Atlantic
11,12:00 PM,,,(23)Army
11,TBD,,,Central Florida
11,TBD,,,Oklahoma State
11,TBD,,,Akron
11,TBD,,,Troy
11,8:00 PM,,,Nevada
11,TBD,,,(6)Miami (FL)
11,3:30 PM,,,Florida
11,TBD,,,South Alabama
11,7:00 PM,,,Fresno State
11,TBD,,,Michigan State
11,TBD,,,Houston
11,TBD,,,(7)Tennessee
11,TBD,,,Marshall
11,TBD,,,(9)Clemson
11,2:30 PM,,,Oklahoma
11,4:15 PM,,,Mississippi State
11,TBD,,,Texas-San Antonio
11,3:30 PM,,,Texas-El Paso
11,TBD,,,(20)Illinois
11,TBD,,,Arkansas
11,TBD,,,Rice
11,TBD,,,Florida State
11,TBD,,,Purdue
11,TBD,,,(3)Penn State
11,TBD,,,Appalachian State
11,TBD,,,Michigan
11,TBD,,,(22)Southern Methodist
11,TBD,,,Washington
11,TBD,,,North Carolina State
11,TBD,,,South Carolina
11,TBD,,,Baylor
11,TBD,,,(10)Iowa State
11,TBD,,,Eastern Michigan
11,TBD,,,Alabama-Birmingham
11,TBD,,,Nebraska
11,TBD,,,Auburn
11,TBD,,,Syracuse
11,TBD,,,Iowa
11,4:00 PM,,,New Mexico
12,TBD,,,Central Michigan
12,TBD,,,Ball State
12,7:00 PM,,,Western Michigan
12,7:00 PM,,,Kent State
12,8:00 PM,,,Coastal Carolina
12,8:00 PM,,,East Carolina
12,8:00 PM,,,Wake Forest
12,9:00 PM,,,UCLA
12,10:30 PM,,,San Diego State
12,9:00 PM,,,Memphis
12,TBD,,,(8)Louisiana State
12,TBD,,,Louisiana
12,TBD,,,North Texas
12,TBD,,,Utah
12,TBD,,,Arizona State
12,TBD,,,Virginia Tech
12,TBD,,,Texas Tech
12,TBD,,,Alabama-Birmingham
12,TBD,,,North Carolina State
12,12:00 PM,,,(5)Texas
12,7:30 PM,,,(12)Notre Dame
12,TBD,,,Air Force
12,TBD,,,(18)Mississippi
12,TBD,,,James Madison
12,TBD,,,Kansas
12,4:30 PM,,,Louisiana Tech
12,4:00 PM,,,Texas-El Paso
12,1:00 PM,,,Middle Tennessee State
12,TBD,,,Southern Mississippi
12,TBD,,,(1)Oregon
12,TBD,,,Georgia Tech
12,TBD,,,(13)Indiana
12,TBD,,,Rutgers
12,TBD,,,(7)Tennessee
12,TBD,,,South Florida
12,TBD,,,(17)Boise State
12,9:00 PM,,,Hawaii
12,TBD,,,(21)Missouri
12,TBD,,,Texas Christian
12,TBD,,,(4)Ohio State
12,TBD,,,Oregon State
12,TBD,,,(25)Vanderbilt
12,TBD,,,Boston College
12,TBD,,,Tulane
12,TBD,,,Louisiana-Monroe
12,TBD,,,Washington State
12,TBD,,,(19)Pittsburgh
12,TBD,,,(3)Penn State
12,TBD,,,Cincinnati
12,6:00 PM,,,New Mexico State
13,7:00 PM,,,Buffalo
13,7:00 PM,,,Toledo
13,7:00 PM,,,Bowling Green
13,7:00 PM,,,Northern Illinois
13,7:00 PM,,,Ohio
13,7:00 PM,,,Miami (OH)
13,7:30 PM,,,Tulsa
13,10:15 PM,,,Arizona
13,9:00 PM,,,Texas-San Antonio
13,9:00 PM,,,Washington
13,8:00 PM,,,Colorado State
13,TBD,,,Memphis
13,TBD,,,(16)Kansas State
13,TBD,,,Georgia State
13,TBD,,,West Virginia
13,7:00 PM,,,San Jose State
13,TBD,,,(22)Southern Methodist
13,TBD,,,(10)Iowa State
13,TBD,,,(19)Pittsburgh
13,TBD,,,Marshall
13,TBD,,,Temple
13,2:00 PM,,,Jacksonville State
13,3:00 PM,,,Utah State
13,TBD,,,Old Dominion
13,TBD,,,(11)Brigham Young
13,TBD,,,Massachusetts
13,TBD,,,Florida
13,12:00 PM,,,Western Kentucky
13,12:45 PM,,,Auburn
13,TBD,,,Stanford
13,2:00 PM,,,(15)Alabama
13,TBD,,,(20)Illinois
13,TBD,,,South Carolina
13,1:30 PM,,,Kentucky
13,TBD,,,Southern California
13,7:45 PM,,,(14)Texas A&M
13,TBD,,,Northwestern
13,TBD,,,Wisconsin
13,3:30 PM,,,Air Force
13,TBD,,,Purdue
13,TBD,,,Maryland
13,3:00 PM,,,Kennesaw State
13,10:30 PM,,,Nevada-Las Vegas
13,TBD,,,Louisiana
13,TBD,,,Charlotte
13,TBD,,,Texas State
13,TBD,,,California
13,TBD,,,(2)Georgia
13,12:00 PM,,,Arkansas
13,TBD,,,Georgia Southern
13,12:00 PM,,,(24)Navy
13,TBD,,,Colorado
13,3:30 PM,,,(12)Notre Dame
13,TBD,,,North Carolina
13,TBD,,,New Mexico
14,TBD,,,Kent State
14,TBD,,,Miami (OH)
14,TBD,,,Central Michigan
14,7:00 PM,,,Eastern Michigan
14,7:00 PM,,,Toledo
14,7:30 PM,,,Georgia Tech
14,TBD,,,San Jose State
14,TBD,,,Michigan State
14,7:00 PM,,,Texas-San Antonio
14,TBD,,,Nevada
14,TBD,,,Oklahoma
14,TBD,,,Texas Christian
14,7:00 PM,,,(12)Notre Dame
14,TBD,,,Houston
14,7:00 PM,,,Wyoming
14,TBD,,,Ball State
14,TBD,,,Arizona State
14,TBD,,,West Virginia
14,TBD,,,Florida State
14,TBD,,,Florida Atlantic
14,TBD,,,(16)Kansas State
